model,P_A_mean,P_A_sem,classical_mean,classical_sem,delta_mean,delta_sem
llama3,0.77112,0.0018191907692859089,0.613497,0.001646648548550189,0.15762300000000004,0.0023838081744159733
mistral,0.8171399999999999,0.0014489720217864524,0.6159749999999999,0.0015495363622509595,0.20116499999999998,0.0021416680454769397
qwen2,0.8183000000000001,0.0011341941616832612,0.6472724999999999,0.0012094543288291328,0.17102750000000005,0.0016560776210180611
gemma,0.8113,0.0006616250809542717,0.6868525000000001,0.0011367571026655006,0.12444749999999999,0.0012833541957471223
